,Temp,Lat,Humidity,Clouds,Wind,abs_Lat
"klaksvik,fo",51.8,62.23,93,92,13.87,62.23
"saint-francois,gp",78.8,16.25,78,20,4.7,16.25
"ouadda,cf",67.99,8.07,96,32,4.09,8.07
"luanda,ao",66.2,-8.83,93,20,9.17,8.83
"iqaluit,ca",46.4,63.75,75,40,9.17,63.75
"shymkent,kz",71.6,42.31,53,90,6.71,42.31
"fria,gn",74.11,10.36,96,88,3.2,10.36
"varnamo,se",67.06,57.19,94,0,2.24,57.19
"port macquarie,au",59.0,-31.43,54,40,8.05,31.43
"fukue,jp",86.0,35.03,74,40,6.93,35.03
"verdun,fr",64.4,49.16,88,0,4.7,49.16
"ambilobe,mg",62.59,-13.19,94,0,3.42,13.19
"juneau,us",66.78,58.3,60,75,10.29,58.3
"pangnirtung,ca",41.17,66.15,89,92,14.72,66.15
"umba,ru",67.36,66.69,79,0,4.43,66.69
"caravelas,br",74.83,-17.73,100,76,3.65,17.73
"soyo,ao",63.04,-6.13,98,24,4.21,6.13
"eenhana,na",57.19,-17.48,43,0,7.78,17.48
"cleethorpes,gb",62.83,53.56,77,64,6.93,53.56
"tyukhtet,ru",47.74,56.54,98,56,2.98,56.54
"ulladulla,au",53.6,-35.36,87,0,8.05,35.36
"atasu,kz",64.66,48.68,56,80,14.5,48.68
"carora,ve",76.63,10.17,73,64,4.54,10.17
"narrabri,au",54.94,-30.33,64,0,4.43,30.33
"bud,no",62.02,62.91,82,48,8.05,62.91
"severnyy-kospashskiy,ru",56.65,59.09,97,20,7.45,59.09
"maceio,br",69.8,-9.67,94,0,2.24,9.67
"impfondo,cg",69.79,1.64,99,92,2.42,1.64
"kingman,us",109.74,35.19,19,1,12.75,35.19
"bela pod bezdezem,cz",74.55,50.5,64,0,3.36,50.5
"grants,us",87.8,35.15,16,1,10.29,35.15
"namatanai,pg",78.07,-3.66,100,48,4.65,3.66
"arlit,ne",82.39,18.74,36,0,7.78,18.74
"urusha,ru",64.93,54.05,70,0,4.09,54.05
"namibe,ao",64.03,-15.19,100,0,10.47,15.19
"basar,in",77.0,27.98,94,90,11.41,27.98
"zimovniki,ru",76.63,47.15,38,64,10.58,47.15
"gornyy,ru",60.34,51.76,79,0,7.56,51.76
"sladkovo,ru",46.21,55.53,77,0,4.76,55.53
"avenal,us",100.36,36.0,18,40,11.41,36.0
"kaman,tr",63.22,39.36,75,0,3.98,39.36
"show low,us",85.03,34.25,31,20,9.17,34.25
"dudinka,ru",42.43,69.41,70,88,20.76,69.41
"byron bay,au",68.0,-28.65,52,0,11.41,28.65
"moron,mn",70.24,47.38,92,56,4.54,47.38
"sarankhola,bd",77.35,22.31,100,48,4.65,22.31
"kendari,id",75.82,-3.99,79,8,3.2,3.99
"am timan,td",71.14,11.04,97,76,6.22,11.04
"miles city,us",87.8,46.41,33,1,10.29,46.41
"hobyo,so",73.12,5.35,88,0,20.31,5.35
"mao,td",78.52,14.12,72,44,12.48,14.12
"amahai,id",79.96,-3.31,100,68,12.82,3.31
"orangeburg,us",80.35,33.49,78,1,8.05,33.49
"sorong,id",73.21,-0.86,100,92,9.01,0.86
"sayyan,ye",56.74,15.17,32,0,3.76,15.17
"rongcheng,cn",86.71,37.16,81,0,3.53,37.16
"santa isabel do rio negro,br",77.35,-0.41,94,0,4.43,0.41
"omboue,ga",73.03,-1.57,100,80,10.58,1.57
"pauini,br",75.19,-7.71,93,0,2.64,7.71
"clyde river,ca",34.24,70.47,93,92,3.09,70.47
"portel,br",75.28,-1.94,95,44,5.99,1.94
"teshie,gh",75.2,5.58,88,20,12.75,5.58
"saint-pierre,re",67.82,-21.34,68,0,3.36,21.34
"harihar,in",69.88,14.52,97,92,9.8,14.52
"halifax,ca",69.8,44.65,60,40,5.82,44.65
"kalemie,cd",74.02,-5.95,99,32,7.9,5.95
"adrar,dz",93.2,27.87,21,40,20.8,27.87
"urrao,co",71.6,6.32,64,40,8.05,6.32
"shingu,jp",84.2,33.72,79,20,1.12,33.72
"mutoko,zw",47.11,-17.4,78,0,2.3,17.4
"caboolture,au",63.32,-27.08,48,20,13.87,27.08
"fairbanks,us",61.2,64.84,72,90,12.75,64.84
"khromtau,kz",59.71,50.26,72,8,6.78,50.26
"ise,jp",86.0,34.5,74,40,6.93,34.5
"ko samui,th",80.6,9.54,83,20,3.36,9.54
"rovaniemi,fi",66.2,66.5,100,75,11.41,66.5
"buchanan,lr",71.6,5.88,94,40,6.22,5.88
"martapura,id",73.4,-3.41,94,88,3.42,3.41
"dongsheng,cn",83.83,29.72,94,0,4.43,29.72
"hami,cn",72.31,42.84,76,92,4.65,42.84
"nemuro,jp",75.2,43.32,60,40,2.24,43.32
"masvingo,zw",47.92,-20.08,49,0,3.98,20.08
"kaseda,jp",80.6,31.42,78,75,10.29,31.42
"horsham,au",47.92,-36.71,94,0,15.5,36.71
"paris,us",79.41,36.3,65,1,3.53,36.3
"verkh-usugli,ru",61.06,52.7,82,88,3.42,52.7
"merrill,us",89.6,42.03,11,1,13.87,42.03
"paisley,ca",69.8,44.3,88,90,6.93,44.3
"porbandar,in",80.23,21.64,88,92,17.74,21.64
"yabrud,sy",69.8,33.97,73,0,17.22,33.97
"wattegama,lk",70.87,7.35,95,68,3.76,7.35
"palimbang,ph",79.41,14.9,94,75,4.7,14.9
"shaowu,cn",80.32,27.34,78,0,1.52,27.34
"walvis bay,na",54.67,-22.95,100,0,9.8,22.95
"havelock,us",82.18,34.88,94,1,6.93,34.88
"motygino,ru",53.23,58.18,96,8,3.2,58.18
"cerritos,mx",75.2,20.89,38,75,19.46,20.89
"pryazha,ru",60.8,61.69,82,0,5.44,61.69
"astara,az",78.8,38.42,78,40,2.24,38.42
"tyazhinskiy,ru",45.4,56.11,90,48,2.42,56.11
"zunyi,cn",72.58,27.73,92,32,5.66,27.73
"zahnitkiv,ua",65.83,48.04,81,0,6.89,48.04
"chunhuhub,mx",85.27,19.59,63,56,5.44,19.59
"port moresby,pg",82.4,-9.47,88,40,6.93,9.47
"sioux lookout,ca",59.76,50.1,51,40,4.7,50.1
"gamba,ga",69.7,-2.72,100,76,8.68,2.72
"qena,eg",89.6,26.16,29,0,2.75,26.16
"osoyoos,ca",96.08,49.03,18,75,4.7,49.03
"salisbury,us",82.42,38.37,78,1,8.05,38.37
"vega de alatorre,mx",79.69,20.03,86,48,4.09,20.03
"makarov,ru",65.56,48.62,85,0,5.77,48.62
"port hardy,ca",60.8,50.7,82,75,10.29,50.7
"punta alta,ar",57.2,-27.46,62,0,4.7,27.46
"castelo do piaui,br",81.31,-5.32,53,0,7.34,5.32
"iquique,cl",59.0,-20.22,72,90,9.17,20.22
"jiaocheng,cn",78.07,24.68,92,76,2.53,24.68
"yagodnoye,ru",48.55,62.52,100,92,2.75,62.52
"mackenzie,ca",71.6,55.34,60,20,8.05,55.34
"ambulu,id",73.93,-8.35,100,100,6.78,8.35
"ballina,au",62.59,-28.87,100,0,8.12,28.87
"huadian,cn",73.75,42.97,75,0,3.42,42.97
"socorro,us",94.41,31.65,21,1,4.54,31.65
"callaway,us",60.8,46.98,72,90,5.82,46.98
"hervey bay,au",65.56,-25.3,97,0,6.55,25.3
"chingirlau,kz",59.26,51.09,81,0,2.75,51.09
"hanting,cn",84.37,30.92,85,0,4.99,30.92
"san luis,mx",96.93,32.49,23,1,10.29,32.49
"lamu,ke",76.63,-2.27,87,92,13.38,2.27
"pinega,ru",62.23,64.7,92,20,2.42,64.7
"daru,pg",76.81,-9.07,100,92,11.59,9.07
"korla,cn",59.44,41.76,96,0,0.74,41.76
"zhangye,cn",67.63,38.94,85,88,4.65,38.94
"menongue,ao",54.22,-14.66,64,0,2.75,14.66
"frontera,mx",71.6,18.53,100,90,19.46,18.53
"mizdah,ly",77.71,31.45,43,0,10.25,31.45
"cranbrook,ca",89.35,49.51,18,75,16.11,49.51
"drochia,md",67.09,48.03,81,8,3.76,48.03
"kouango,cf",66.46,4.99,98,88,2.98,4.99
"saint-pierre,pm",64.4,46.77,88,0,11.41,46.77
"ilhabela,br",63.22,-23.78,100,92,11.48,23.78
"hammerfest,no",59.0,70.66,87,40,8.05,70.66
"emilio carranza,mx",79.69,19.97,86,48,4.09,19.97
"okitipupa,ng",73.84,6.5,90,80,2.98,6.5
"atherton,au",75.2,-17.27,69,40,11.41,17.27
"el tigre,ve",72.49,8.89,95,76,5.1,8.89
"dunedin,nz",46.93,-45.87,90,32,3.65,45.87
"chioggia,it",82.0,45.22,69,20,8.05,45.22
"vestmannaeyjar,is",50.35,63.44,96,24,8.01,63.44
"asyut,eg",87.8,27.18,43,0,2.53,27.18
"shipitsyno,ru",64.75,61.28,79,8,5.44,61.28
"hovd,mn",56.02,48.01,88,24,3.87,48.01
"okhotsk,ru",60.52,59.36,87,68,4.54,59.36
"magadan,ru",62.6,59.56,77,90,6.71,59.56
"bahia blanca,ar",43.24,-38.72,80,0,1.74,38.72
"tehachapi,us",98.65,35.13,21,1,18.34,35.13
"ostrovnoy,ru",69.16,68.05,85,36,10.25,68.05
"higueron,mx",81.94,18.58,52,12,3.42,18.58
"ampanihy,mg",48.01,-24.69,85,0,2.75,24.69
"barcelos,br",77.53,-0.97,90,0,3.87,0.97
"apatou,gf",77.17,5.16,91,24,3.65,5.16
"melita,ca",66.46,49.27,76,0,3.42,49.27
"vilhena,br",75.2,-12.74,78,75,5.82,12.74
"arman,ru",62.6,59.7,77,90,6.71,59.7
"adre,td",66.73,13.47,99,80,6.22,13.47
"paragould,us",82.83,36.06,58,1,4.7,36.06
"eldorado,mx",95.0,24.32,56,75,13.87,24.32
"giresun,tr",62.59,40.91,100,76,1.63,40.91
"olinda,br",66.54,-22.82,88,75,6.93,22.82
"maidstone,gb",61.25,51.27,77,0,8.05,51.27
"arcata,us",60.89,40.87,82,90,11.41,40.87
"hosdurga,in",69.43,13.8,87,32,10.69,13.8
"fandriana,mg",51.97,-20.24,100,64,2.42,20.24
"vysokogornyy,ru",62.23,50.1,56,0,7.23,50.1
"itupiranga,br",82.4,-5.13,69,0,4.7,5.13
"boo,se",73.4,59.33,100,48,4.7,59.33
"gorom-gorom,bf",71.77,14.45,96,80,3.31,14.45
"hay river,ca",75.2,60.82,53,75,5.82,60.82
"elizabeth city,us",80.76,36.3,78,1,6.93,36.3
"jijiga,et",60.43,9.35,94,92,2.98,9.35
"frontignan,fr",76.35,43.45,61,0,5.82,43.45
"buraydah,sa",86.0,26.33,28,0,6.93,26.33
"makubetsu,jp",71.6,42.84,68,75,1.12,42.84
"santa cruz,cr",80.6,10.26,88,75,2.24,10.26
"markova,ru",57.2,52.21,93,0,4.47,52.21
"kupang,id",78.8,-10.16,65,20,3.36,10.16
"dandong,cn",86.62,40.12,66,8,3.65,40.12
"barabinsk,ru",46.3,55.35,89,8,9.46,55.35
"geraldton,ca",53.6,49.72,76,90,6.93,49.72
"talakan,ru",69.07,50.29,74,36,4.65,50.29
"talnakh,ru",42.61,69.49,79,44,14.61,69.49
"fenoarivo atsinanana,mg",65.38,-17.38,100,88,2.19,17.38
"ilulissat,gl",41.0,69.22,86,75,8.05,69.22
"enshi,cn",74.29,30.29,86,68,3.31,30.29
"kurilsk,ru",58.81,45.23,93,36,8.01,45.23
"half moon bay,us",72.86,37.46,87,90,12.75,37.46
"kargil,in",30.19,34.57,98,80,1.74,34.57
"opuwo,na",47.56,-18.06,56,0,3.76,18.06
"sarangani,ph",75.64,5.4,100,92,12.82,5.4
"amapa,br",84.73,-1.83,58,12,4.32,1.83
"hirara,jp",84.2,24.8,83,75,13.87,24.8
"luancheng,cn",84.2,37.88,89,0,4.47,37.88
"jizan,sa",89.6,16.89,62,75,5.82,16.89
"ankola,in",70.96,14.67,100,92,2.86,14.67
"hazorasp,uz",71.6,41.32,49,0,6.93,41.32
"cap-aux-meules,ca",73.4,47.38,78,75,12.75,47.38
"antofagasta,cl",55.4,-23.65,71,75,11.41,23.65
"lukulu,zm",52.42,-14.38,59,0,3.09,14.38
"ossora,ru",52.96,59.24,100,92,9.69,59.24
"chivolo,co",83.11,10.03,78,56,3.76,10.03
"baruun-urt,mn",77.44,46.68,69,48,12.93,46.68
"kokkola,fi",64.4,63.84,93,0,3.36,63.84
"fuyang,cn",86.44,32.89,86,0,4.76,32.89
"heerde,nl",59.0,52.39,87,40,6.11,52.39
"asekeyevo,ru",57.46,53.57,81,0,2.75,53.57
"lodja,cd",69.16,-3.52,96,88,2.75,3.52
"zhezkazgan,kz",66.37,47.8,56,36,15.28,47.8
"victoria point,au",64.99,-27.58,48,20,13.87,27.58
"mbandaka,cd",73.84,0.05,93,80,3.42,0.05
"quesnel,ca",62.6,52.98,88,90,9.17,52.98
"kargasok,ru",43.24,59.06,73,0,4.43,59.06
"barranca,pe",62.77,-10.75,100,80,10.58,10.75
"muzhi,ru",38.11,65.4,84,48,3.2,65.4
"aswan,eg",91.4,24.09,21,0,5.82,24.09
"coos bay,us",61.56,43.37,77,90,11.41,43.37
"deputatskiy,ru",53.14,69.3,67,0,3.98,69.3
"nizhniy odes,ru",44.95,63.64,86,64,2.42,63.64
"kodinar,in",76.0,20.79,97,92,10.47,20.79
"chapadinha,br",73.66,-3.74,90,0,5.21,3.74
"boulder,us",79.5,40.02,38,1,5.88,40.02
"beloha,mg",50.8,-25.17,79,0,4.09,25.17
"kabinda,cd",70.06,-6.14,69,20,3.53,6.14
"wanning,cn",82.93,18.8,96,0,7.9,18.8
"redding,us",99.43,40.59,21,75,11.41,40.59
"dalmeny,ca",80.6,52.34,34,40,16.11,52.34
"gbarnga,lr",72.13,7.0,84,56,7.78,7.0
"erzin,ru",55.66,50.26,79,20,2.53,50.26
"stephenville,ca",66.2,48.55,93,75,3.36,48.55
"capitao poco,br",76.63,-1.75,88,48,6.22,1.75
"kieta,pg",78.16,-6.22,100,92,3.09,6.22
"sambava,mg",71.5,-14.27,100,48,9.46,14.27
"anloga,gh",77.0,5.79,88,20,13.87,5.79
"burnie,au",53.77,-41.05,96,88,16.51,41.05
"san cristobal,ec",61.51,-1.02,100,80,2.19,1.02
"roald,no",61.56,62.58,82,80,9.17,62.58
"nortelandia,br",67.81,-14.45,79,0,5.66,14.45
"townsville,au",73.4,-19.26,56,20,10.29,19.26
"kangaatsiaq,gl",40.99,68.31,99,92,20.31,68.31
"zharkent,kz",59.17,44.17,49,92,3.42,44.17
"jocotan,gt",73.21,14.82,93,48,2.08,14.82
"pitimbu,br",75.2,-7.47,83,40,5.82,7.47
"strezhevoy,ru",44.6,60.73,87,90,4.47,60.73
"davila,ph",80.6,18.47,88,20,2.24,18.47
"batagay-alyta,ru",60.7,67.8,67,0,4.09,67.8
"casoria,it",78.04,40.9,69,0,2.24,40.9
"bosaso,so",87.97,11.28,86,24,7.34,11.28
"navirai,br",64.84,-23.07,67,76,3.98,23.07
"wilmington,us",82.2,39.75,74,1,11.41,39.75
"monteagudo,bo",64.4,-19.8,45,100,2.3,19.8
"leeds,gb",65.64,53.8,63,0,5.82,53.8
"cohoes,us",73.74,42.77,83,75,4.7,42.77
"alexander city,us",73.4,32.94,100,90,3.65,32.94
"flin flon,ca",71.6,54.77,56,75,14.99,54.77
"nishihara,jp",88.14,35.74,59,1,4.54,35.74
"ozieri,it",76.12,40.59,64,0,1.12,40.59
"ribeira brava,pt",69.8,32.65,68,40,6.93,32.65
"sangueya,gn",75.19,10.7,93,92,3.87,10.7
"mount pleasant,us",79.99,32.79,83,40,9.17,32.79
"skhisma,gr",78.8,35.27,83,0,12.75,35.27
"sinazongwe,zm",57.91,-17.26,88,0,2.64,17.26
"general roca,ar",44.6,-39.03,72,0,3.31,39.03
"bin qirdan,tn",71.32,33.14,93,0,3.98,33.14
"mitsamiouli,km",71.6,-11.38,83,20,4.7,11.38
"nalut,ly",71.95,31.86,56,0,5.88,31.86
"bonoua,ci",75.2,5.27,88,20,4.7,5.27
"zheleznodorozhnyy,ru",62.15,55.75,72,0,2.24,55.75
"colac,au",48.37,-38.34,91,0,7.45,38.34
"san jeronimo,mx",107.6,29.37,26,20,9.17,29.37
"lingao,cn",82.03,19.91,92,8,7.23,19.91
"bremerton,us",82.42,38.4,78,1,8.05,38.4
"lunenburg,ca",67.63,44.38,78,8,10.02,44.38
"bellmead,us",94.41,31.59,17,5,12.75,31.59
"plettenberg bay,za",56.65,-34.05,100,88,5.77,34.05
"hudson bay,ca",69.52,52.86,58,0,4.43,52.86
"kaka,tm",57.46,37.35,72,0,2.42,37.35
"yarada,in",78.7,17.65,100,76,25.9,17.65
"huaihua,cn",74.29,27.56,96,88,2.98,27.56
"edd,er",80.41,13.93,55,32,3.31,13.93
"villamartin,es",82.65,36.86,24,0,2.24,36.86
"pahrump,us",103.66,36.21,14,1,8.05,36.21
"calama,cl",59.0,-22.46,5,0,11.41,22.46
"marawi,sd",82.21,18.48,60,36,4.65,18.48
"seoul,kr",88.12,37.57,55,0,10.29,37.57
"tessalit,ml",81.04,20.2,46,48,0.96,20.2
"kalevala,ru",71.41,65.2,66,8,4.43,65.2
"newport,us",77.27,41.49,94,90,11.41,41.49
"belyy yar,ru",57.2,53.6,82,0,3.98,53.6
"kiunga,pg",73.57,-6.12,99,92,2.75,6.12
"kirishi,ru",62.5,59.45,87,0,2.64,59.45
"ipixuna,br",75.2,-1.76,94,75,9.17,1.76
"atambua,id",75.01,-9.11,100,0,6.22,9.11
"dhidhdhoo,mv",81.13,6.88,100,24,7.78,6.88
"magistralnyy,ru",60.61,56.17,79,20,3.31,56.17
"la ronge,ca",69.8,55.1,64,90,5.82,55.1
"novyy urengoy,ru",44.59,66.08,95,100,20.65,66.08
"beloye,ru",59.35,54.58,80,0,3.76,54.58
"vangaindrano,mg",59.98,-23.35,96,8,3.98,23.35
"savelugu,gh",77.62,9.63,76,0,2.86,9.63
"alto araguaia,br",74.56,-17.32,46,0,6.78,17.32
"constitucion,cl",47.02,-35.33,98,0,7.34,35.33
"olot,uz",74.37,39.42,43,0,4.7,39.42
"lengshuitan,cn",80.23,26.41,92,8,3.98,26.41
"draguseni,ro",66.19,45.97,81,0,7.23,45.97
"kamenka,ru",58.36,53.19,76,0,4.88,53.19
"talaya,ru",47.56,55.79,92,100,3.87,55.79
"ankang,cn",76.81,32.73,83,32,2.53,32.73
"tigil,ru",64.84,57.8,84,68,8.46,57.8
"linxia,cn",57.46,35.6,99,92,3.09,35.6
"salinas,ec",53.6,0.49,81,40,9.17,0.49
"nizhniy kuranakh,ru",52.06,58.84,88,68,3.87,58.84
"kaohsiung,tw",80.44,22.62,83,75,4.7,22.62
"ahuimanu,us",85.59,21.44,58,40,17.22,21.44
"osypenko,ua",69.8,48.04,64,0,13.42,48.04
"nikita,ua",78.88,44.52,80,0,12.37,44.52
"sandpoint,us",90.25,48.28,15,1,5.82,48.28
"high prairie,ca",75.91,55.43,63,24,3.76,55.43
"kattivakkam,in",84.2,13.22,70,40,6.93,13.22
"izvestkovyy,ru",68.44,48.98,64,36,3.2,48.98
"hastings,sl",78.8,8.39,78,75,5.82,8.39
"felanitx,es",75.2,39.47,88,0,3.36,39.47
"pokhara,np",60.07,28.21,80,64,2.75,28.21
"santa cruz,us",72.05,36.97,64,1,10.29,36.97
"kulhudhuffushi,mv",81.13,6.62,100,24,7.78,6.62
"sabha,ly",81.67,27.03,28,0,10.69,27.03
"santa rosa,ar",43.24,-36.62,73,0,5.1,36.62
"turukhansk,ru",41.71,65.8,91,0,8.68,65.8
"loanda,br",66.46,-22.93,76,92,7.0,22.93
"sivaki,ru",66.37,52.63,73,48,3.87,52.63
"nouakchott,mr",78.52,18.08,100,12,17.74,18.08
"nyurba,ru",57.64,63.29,80,0,3.76,63.29
"hillsboro,us",77.65,39.16,69,1,3.2,39.16
"vanavara,ru",53.77,60.35,75,36,3.76,60.35
"markala,ml",71.86,13.69,96,80,10.47,13.69
"santiago,cl",51.8,-33.44,62,75,10.29,33.44
"owando,cg",71.86,-0.49,89,76,2.75,0.49
"cotonou,bj",77.0,6.37,88,20,12.75,6.37
"rehoboth,na",46.21,-23.31,42,0,7.78,23.31
"ca mau,vn",82.66,9.18,83,88,11.7,9.18
"dwarka,in",84.2,28.58,74,40,6.93,28.58
"rondonopolis,br",68.53,-16.46,77,8,2.86,16.46
"lazaro cardenas,mx",91.4,28.39,26,40,8.05,28.39
"lugovoy,ru",45.13,59.72,82,8,4.21,59.72
"banfora,bf",71.5,10.64,90,24,2.86,10.64
"bad harzburg,de",74.47,51.88,60,56,5.44,51.88
"shadegan,ir",85.1,30.65,37,0,9.17,30.65
"kerema,pg",76.72,-7.96,92,56,2.64,7.96
"bantogon,ph",72.04,6.53,95,92,3.2,6.53
"langham,ca",80.6,52.36,34,40,16.11,52.36
"camopi,gf",82.21,3.17,56,24,4.54,3.17
"balabac,ph",83.02,7.99,100,92,24.67,7.99
"miquelon,pm",64.4,47.1,88,0,11.41,47.1
"bonavista,ca",67.72,48.65,71,76,4.99,48.65
"bindki,in",73.03,26.04,99,92,3.87,26.04
"mastung,pk",54.76,29.8,56,0,4.21,29.8
"rio grande,br",47.92,-32.03,96,0,7.78,32.03
"puerto carreno,co",77.0,6.19,94,20,1.86,6.19
"sarh,td",71.6,9.14,94,20,5.44,9.14
"general macarthur,ph",81.49,11.25,92,48,9.46,11.25
"churapcha,ru",58.09,62.0,74,0,7.45,62.0
"damietta,eg",82.4,31.42,78,0,11.41,31.42
"kambove,cd",51.97,-10.88,72,0,2.53,10.88
"roscrea,ie",62.23,52.95,97,88,10.8,52.95
"sinnamary,gf",81.04,5.38,96,0,10.25,5.38
"shubarkuduk,kz",58.81,49.15,63,0,7.78,49.15
"santa isabel,mx",100.27,32.63,22,75,14.99,32.63
"imbituba,br",57.2,-28.24,67,75,5.82,28.24
"jiamusi,cn",73.57,46.81,90,0,3.98,46.81
"gawler,au",64.4,-34.6,74,0,19.46,34.6
"benguela,ao",64.12,-12.58,100,0,3.98,12.58
"manokwari,id",78.79,-0.87,100,56,3.2,0.87
"yumen,cn",68.35,40.29,56,92,8.57,40.29
"qiqihar,cn",73.21,47.35,81,0,5.88,47.35
"san andres,co",80.6,8.22,88,90,4.7,8.22
"axim,gh",76.54,4.87,100,0,10.69,4.87
"panacan,ph",82.4,7.15,78,75,3.36,7.15
"ayr,au",68.98,-19.58,88,0,9.69,19.58
"lewisville,us",91.92,33.05,24,20,5.82,33.05
"basoko,cd",69.34,1.23,100,80,3.65,1.23
"bocas del toro,pa",79.69,9.33,100,76,11.48,9.33
"ventspils,lv",64.4,57.39,88,0,1.12,57.39
"cukai,my",73.63,4.25,100,75,3.09,4.25
"toora-khem,ru",54.22,52.47,91,8,1.97,52.47
"palermo,it",77.0,38.12,88,0,5.82,38.12
